Date,Price,Open,High,Low,Vol.,Change %
"Sep 08, 2020",0.530,0.485,0.555,0.485,86.99M,9.28%
"Sep 07, 2020",0.485,0.475,0.495,0.475,20.20M,3.19%
"Sep 04, 2020",0.470,0.455,0.475,0.450,6.44M,2.17%
"Sep 03, 2020",0.460,0.455,0.470,0.450,2.19M,2.22%
"Sep 02, 2020",0.450,0.450,0.455,0.445,1.03M,0.00%
"Sep 01, 2020",0.450,0.450,0.455,0.445,1.42M,2.27%
"Aug 28, 2020",0.440,0.455,0.460,0.435,3.35M,-3.30%
"Aug 27, 2020",0.455,0.460,0.465,0.450,1.08M,-1.09%
"Aug 26, 2020",0.460,0.455,0.465,0.450,1.83M,1.10%
"Aug 25, 2020",0.455,0.460,0.465,0.445,4.86M,-3.19%
"Aug 24, 2020",0.470,0.460,0.490,0.460,10.61M,3.30%
"Aug 21, 2020",0.455,0.450,0.465,0.450,4.24M,2.25%
"Aug 19, 2020",0.445,0.440,0.450,0.430,1.55M,1.14%
"Aug 18, 2020",0.440,0.440,0.450,0.430,3.96M,-1.12%
"Aug 17, 2020",0.445,0.460,0.460,0.440,3.28M,-2.20%
"Aug 14, 2020",0.455,0.475,0.480,0.445,6.70M,-3.19%
"Aug 13, 2020",0.470,0.445,0.500,0.445,60.44M,8.05%
"Aug 12, 2020",0.435,0.455,0.455,0.425,4.96M,-3.33%
"Aug 11, 2020",0.450,0.450,0.480,0.445,15.26M,0.00%
"Aug 10, 2020",0.450,0.440,0.460,0.440,6.73M,4.65%
