Date,Price,Open,High,Low,Vol.,Change %
"Sep 01, 2020",0.020,0.015,0.020,0.015,81.38M,33.33%
"Aug 28, 2020",0.015,0.015,0.020,0.015,32.48M,0.00%
"Aug 27, 2020",0.015,0.015,0.020,0.015,51.32M,0.00%
"Aug 26, 2020",0.015,0.015,0.020,0.015,29.18M,0.00%
"Aug 25, 2020",0.015,0.015,0.020,0.015,36.65M,0.00%
"Aug 24, 2020",0.015,0.015,0.020,0.015,23.38M,0.00%
"Aug 21, 2020",0.015,0.015,0.020,0.015,26.92M,-25.00%
"Aug 19, 2020",0.020,0.015,0.020,0.015,22.15M,33.33%
"Aug 18, 2020",0.015,0.015,0.020,0.015,30.06M,-25.00%
"Aug 17, 2020",0.020,0.015,0.020,0.015,63.07M,0.00%
"Aug 14, 2020",0.020,0.020,0.020,0.015,38.48M,0.00%
"Aug 13, 2020",0.020,0.020,0.025,0.015,228.01M,0.00%
"Aug 12, 2020",0.020,0.020,0.025,0.015,676.51M,0.00%
"Aug 11, 2020",0.020,0.025,0.025,0.015,1.54B,0.00%
"Aug 10, 2020",0.020,0.015,0.020,0.015,514.19M,33.33%
"Aug 07, 2020",0.015,0.010,0.020,0.010,1.18B,0.00%
"Aug 06, 2020",0.015,0.015,0.015,0.010,26.38M,0.00%
"Aug 05, 2020",0.015,0.015,0.015,0.010,84.94M,0.00%
"Aug 04, 2020",0.015,0.010,0.015,0.010,54.29M,50.00%
"Aug 03, 2020",0.010,0.010,0.015,0.010,52.17M,-33.33%
